run	nodes	geneid	local_outdegree_centrality	local_betweenness_centrality	outdegree_centrality	betweenness_centrality	community	community_size	rank_betweenness	rank_outdegree	rank_local_betweenness	rank_local_outdegree
1	324	Zic5	0.0804953560371517	0.0028363748245293537	0.12693498452012383	0.017172086225794664	3	53	35.0	3.0	3.0	3.0
1	324	Ascl2	0.07120743034055728	0.0026344633963425183	0.07120743034055728	0.009364844335903698	1	77	60.0	29.0	7.0	6.0
1	324	Hand1	0.05572755417956657	0.0015672172759263888	0.061919504643962855	0.020008461050324017	1	77	26.0	40.0	19.0	13.0
1	324	Elf3	0.06811145510835914	0.002221025710055189	0.07430340557275542	0.019306578466626922	1	77	27.0	23.0	12.0	7.0
1	324	Sox1	0.02476780185758514	0.0002884448974097648	0.043343653250773995	0.0032882718304713186	3	53	100.0	68.0	18.0	16.0
1	324	Tcf15	0.027863777089783284	0.000999942311020518	0.04643962848297214	0.019287348806799606	0	99	28.0	60.0	21.0	18.0
1	307	Zic5	0.08169934640522876	0.004178720668595307	0.11764705882352941	0.021332904746598092	3	60	20.0	3.0	2.0	3.0
1	307	Ascl2	0.06535947712418301	0.002260795028393871	0.06535947712418301	0.006750241080038573	1	69	75.0	24.0	8.0	5.0
1	307	Hand1	0.0392156862745098	0.0007607414550519662	0.049019607843137254	0.027890281795778418	1	69	12.0	40.0	28.0	18.0
1	307	Elf3	0.04575163398692811	0.0024108003857280617	0.04575163398692811	0.019468552448301726	1	69	25.0	46.0	6.0	13.0
1	307	Sox1	0.022875816993464054	0.00024643737276331296	0.029411764705882353	0.0015857709203900138	3	60	119.0	80.0	23.0	20.0
1	307	Tcf15	0.029411764705882353	0.003417979213543341	0.0392156862745098	0.0189756777027751	0	87	29.0	58.0	6.0	13.0
1	293	Zic5	0.07534246575342465	0.003201054465000235	0.10616438356164383	0.019123946711858023	3	54	31.0	2.0	3.0	3.0
1	293	Ascl2	0.05136986301369863	0.0018476674669302827	0.05136986301369863	0.005025184766746692	2	56	81.0	27.0	8.0	6.0
1	293	Hand1	0.023972602739726026	0.00037659464294120413	0.03424657534246575	0.027420797439156427	2	56	15.0	52.0	29.0	22.0
1	293	Elf3	0.04452054794520548	0.0018947417972979333	0.04452054794520548	0.026679376735865932	2	56	17.0	36.0	6.0	10.0
1	293	Sox1	0.023972602739726026	0.00042366897330885467	0.0273972602739726	0.005790142635221014	3	54	77.0	74.0	16.0	15.0
1	293	Tcf15	0.017123287671232876	0.0026243939179965165	0.0273972602739726	0.00948547756908158	0	73	56.0	74.0	11.0	14.0
1	276	Zic5	0.06909090909090909	0.0018181818181818182	0.10181818181818182	0.015806237558062375	3	36	45.0	2.0	4.0	2.0
1	276	Ascl2	0.05090909090909091	0.0029462508294625083	0.05090909090909091	0.006051758460517584	2	56	78.0	21.0	3.0	6.0
